Name,Position,Age,Birthdate,Height,Weight,Team
Denis BUCKLEY,Prop,34,1990-08-09,1.77,110,connacht
Finlay BEALHAM,Prop,33,1991-10-09,1.8900000000000001,123,connacht
Jack AUNGIER,Prop,26,1998-11-20,1.8800000000000001,120,connacht
Jordan DUGGAN,Prop,27,1998-01-07,1.85,114,connacht
Peter DOOLEY,Prop,30,1994-08-04,1.83,116,connacht
Sam ILLO,Prop,24,2001-02-16,1.85,121,connacht
Temi LASISI,Prop,24,2001-05-09,1.83,125,connacht
Dave HEFFERNAN,Hooker,34,1991-01-31,1.87,111,connacht
Dylan TIERNEY-MARTIN,Hooker,26,1999-06-20,1.82,101,connacht
Eoin DE BUITLÉAR,Hooker,23,2001-11-09,1.75,104,connacht
Darragh MURRAY,Lock,23,2001-07-04,2.01,115,connacht
David O'CONNOR,Lock,30,1995-05-19,1.93,110,connacht
Joe JOYCE,Lock,31,1994-02-07,1.96,119,connacht
Josh MURPHY,Lock,30,1995-02-17,1.98,110,connacht
Niall MURRAY,Lock,25,1999-10-13,2.01,111,connacht
Oisín DOWLING,Lock,28,1997-06-23,1.96,112,connacht
Ben MURPHY,Scrum-half,24,2001-04-23,1.73,80,connacht
Caolin BLADE,Scrum-half,31,1994-04-29,1.7,81,connacht
Colm REILLY,Scrum-half,25,1999-08-09,1.78,78,connacht
Matt DEVINE,Scrum-half,23,2002-02-19,1.8,84,connacht
Cathal FORDE,Fly-half,24,2001-04-11,1.8800000000000001,95,connacht
Jack CARTY,Fly-half,32,1992-08-31,1.83,92,connacht
JJ HANRAHAN,Fly-half,32,1992-07-27,1.83,93,connacht
Josh IOANE,Fly-half,29,1995-07-11,1.8,92,connacht
Chay MULLINS,Fullback,23,2002-01-23,1.91,95,connacht
Mack HANSEN,Fullback,27,1998-03-27,1.8800000000000001,89,connacht
Alulutho TSHAKWENI,Prop,26,1998-09-26,1.83,110,bulls
Dylan SMITH,Prop,31,1994-02-26,1.8,116,bulls
François KLOPPER,Prop,25,1999-09-07,1.8800000000000001,130,bulls
Gerhard STEENEKAMP,Prop,28,1997-04-09,1.94,128,bulls
Juann ELSE,Prop,22,2003-05-22,1.8,101,bulls
