"Location","Year","dist_m","Stroke","Relay","Gender","Team","Athlete","Results","Rank"
"Tokyo",2020,100,"Backstroke",0,"Men","ROC","Evgeny Rylov",51.98,1
"Tokyo",2020,100,"Backstroke",0,"Men","ROC","Kliment Kolesnikov",52,2
"Tokyo",2020,100,"Backstroke",0,"Men","USA","Ryan Murphy",52.19,3
"Tokyo",2020,100,"Backstroke",0,"Men","ITA","Thomas Ceccon",52.3,4
"Tokyo",2020,100,"Backstroke",0,"Men","CHN","Jiayu Xu",52.51,4
"Tokyo",2020,100,"Backstroke",0,"Men","ESP","Hugo Gonzalez De Oliveira",52.78,4
"Tokyo",2020,100,"Backstroke",0,"Men","AUS","Mitchell Larkin",52.79,4
"Tokyo",2020,100,"Backstroke",0,"Men","ROU","Robert Glinta",52.95,4
"Tokyo",2020,100,"Breaststroke",0,"Men","GBR","Adam Peaty",57.37,1
"Tokyo",2020,100,"Breaststroke",0,"Men","NED","Arno Kamminga",58,2
"Tokyo",2020,100,"Breaststroke",0,"Men","ITA","Nicolo Martinenghi",58.33,3
"Tokyo",2020,100,"Breaststroke",0,"Men","USA","Michael Andrew",58.84,4
"Tokyo",2020,100,"Breaststroke",0,"Men","GBR","James Wilby",58.96,4
"Tokyo",2020,100,"Breaststroke",0,"Men","CHN","Zibei Yan",58.99,4
"Tokyo",2020,100,"Breaststroke",0,"Men","USA","Andrew Wilson",58.99,4
"Tokyo",2020,100,"Breaststroke",0,"Men","BLR","Ilya Shymanovich",59.36,4
"Tokyo",2020,100,"Butterfly",0,"Men","USA","Caeleb Dressel",49.45,1
"Tokyo",2020,100,"Butterfly",0,"Men","HUN","Kristof Kristof Milak",49.68,2
"Tokyo",2020,100,"Butterfly",0,"Men","SUI","Noe Ponti",50.74,3
"Tokyo",2020,100,"Butterfly",0,"Men","ROC","Andrei Minakov",50.88,4
"Tokyo",2020,100,"Butterfly",0,"Men","POL","Jakub Majerski",50.92,4
"Tokyo",2020,100,"Butterfly",0,"Men","AUS","Matthew Temple",50.92,4
"Tokyo",2020,100,"Butterfly",0,"Men","GUA","Luis Martinez",51.09,4
"Tokyo",2020,100,"Butterfly",0,"Men","BUL","Josif Miladinov",51.49,4
"Tokyo",2020,100,"Freestyle",0,"Men","USA","Caeleb Dressel",47.02,1
"Tokyo",2020,100,"Freestyle",0,"Men","AUS","Kyle Chalmers",47.08,2
"Tokyo",2020,100,"Freestyle",0,"Men","ROC","Kliment Kolesnikov",47.44,3
"Tokyo",2020,100,"Freestyle",0,"Men","FRA","Maxime Grousset",47.72,4
"Tokyo",2020,100,"Freestyle",0,"Men","KOR","Sunwoo Hwang",47.82,4
"Tokyo",2020,100,"Freestyle",0,"Men","ITA","Alessandro Miressi",47.86,4
"Tokyo",2020,100,"Freestyle",0,"Men","ROU","David Popovici",48.04,4
"Tokyo",2020,100,"Freestyle",0,"Men","HUN","Nandor Nemeth",48.1,4
"Tokyo",2020,50,"Freestyle",0,"Men","USA","Caeleb Dressel",21.07,1
"Tokyo",2020,50,"Freestyle",0,"Men","FRA","Florent Manaudou",21.55,2
"Tokyo",2020,50,"Freestyle",0,"Men","BRA","Bruno Fratus",21.57,3
"Tokyo",2020,50,"Freestyle",0,"Men","USA","Michael Andrew",21.6,4
"Tokyo",2020,50,"Freestyle",0,"Men","GBR","Ben Proud",21.72,4
"Tokyo",2020,50,"Freestyle",0,"Men","GRE","Kristian Gkolomeev",21.72,4
"Tokyo",2020,50,"Freestyle",0,"Men","ITA","Lorenzo Zazzeri",21.78,4
"Tokyo",2020,50,"Freestyle",0,"Men","NED","Thom De Boer",21.79,4
"Tokyo",2020,100,"Backstroke",0,"Women","AUS","Kaylee Mckeown",57.47,1
"Tokyo",2020,100,"Backstroke",0,"Women","CAN","Kylie Masse",57.72,2
"Tokyo",2020,100,"Backstroke",0,"Women","USA","Regan Smith",58.05,3
"Tokyo",2020,100,"Backstroke",0,"Women","USA","Rhyan Elizabeth White",58.43,4
"Tokyo",2020,100,"Backstroke",0,"Women","AUS","Emily Seebohm",58.45,4
"Tokyo",2020,100,"Backstroke",0,"Women","GBR","Kathleen Dawson",58.7,4
"Tokyo",2020,100,"Backstroke",0,"Women","NED","Kira Toussaint",59.11,4
"Tokyo",2020,100,"Backstroke",0,"Women","ISR","Anastasya Gorbenko",59.53,4
"Tokyo",2020,100,"Butterfly",0,"Women","CAN","Margaret Mac Neil",55.59,1
"Tokyo",2020,100,"Butterfly",0,"Women","CHN","Yufei Zhang",55.64,2
