"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","averageRating","numVotes","Year","Genres","Types","SummaryNotes","sport"
"1","tt0000007","short","Corbett and Courtney Before the Kinetograph","Corbett and Courtney Before the Kinetograph",0,"1894","\N","1","Short,Sport",5.4,834,1894,"Documentary","","Silent film","boxing"
"2","tt0000038","short","The Ball Game","The Ball Game",0,"1898","\N","\N","Documentary,Short,Sport",4.2,206,1898,"Documentary","","Short film depicting an 1898 baseball game between Reading Phillies and Newark Bears.","baseball"
"3","tt0000049","short","Boxing Match; or, Glove Contest","Boxing Match; or, Glove Contest",0,"1896","\N","\N","Short,Sport",5,49,1896,"Documentary","","Silent film","boxing"
"4","tt0000147","movie","The Corbett-Fitzsimmons Fight","The Corbett-Fitzsimmons Fight",0,"1897","\N","100","Documentary,News,Sport",5.3,482,1897,"Documentary","","A full-length version of 19th Century title bout.","boxing"
"5","tt0000229","short","Casey at the Bat","Casey at the Bat",0,"1899","\N","1","Short,Sport",4.5,114,1916,"Drama","","A lost five-reeler based on Ernest Thayer's poem and starring DeWolf Hopper","baseball"
"6","tt0000229","short","Casey at the Bat","Casey at the Bat",0,"1899","\N","1","Short,Sport",4.5,114,1927,"Comedy","","Wallace Beery in slugger's fable based on Ernest Thayer poem.","baseball"
"7","tt0001408","short","Take Me Out to the Ball Game","Take Me Out to the Ball Game",0,"1910","\N","\N","Comedy,Short",NA,NA,1949,"Musical","","Frank Sinatra and Gene Kelly as singing, dancing ballplayers.","baseball"
"8","tt0001585","short","The Doctor","The Doctor",0,"1911","\N","15","Drama,Short",NA,NA,2013,"Documentary","","NBA TV documentary about the ABA and NBA career of Julius Erving.","basketball"
"9","tt0002076","short","Brothers","Brothers",0,"1912","\N","\N","Drama,Short",NA,NA,2015,"Drama","MMA","Bollywood film. The official remake of Warrior","martialArts"
"10","tt0002090","short","Casey at the Bat","Casey at the Bat",0,"1913","\N","6","Comedy,Short",NA,NA,1916,"Drama","","A lost five-reeler based on Ernest Thayer's poem and starring DeWolf Hopper","baseball"
"11","tt0002090","short","Casey at the Bat","Casey at the Bat",0,"1913","\N","6","Comedy,Short",NA,NA,1927,"Comedy","","Wallace Beery in slugger's fable based on Ernest Thayer poem.","baseball"
"12","tt0002657","short","The Ball Game","The Ball Game",0,"1913","\N","\N","Animation,Short",NA,NA,1898,"Documentary","","Short film depicting an 1898 baseball game between Reading Phillies and Newark Bears.","baseball"
"13","tt0002666","short","Baseball","Baseball",0,"1913","\N","\N","Animation,Short",NA,NA,1994,"Documentary","","Comprehensive history of the game, 18 hours-plus, as chronicled by Ken Burns.","baseball"
"14","tt0002718","short","Brothers","Brothers",0,"1913","\N","17","Drama,Short",3.4,47,2015,"Drama","MMA","Bollywood film. The official remake of Warrior","martialArts"
"15","tt0002744","short","The Champion","The Champion",0,"1913","\N","10","Comedy,Short",NA,NA,1915,"Short, comedy","","Charlie Chaplin puts a ""good luck"" horseshoe into his boxing glove and wins.","boxing"
"16","tt0003399","short","The Speed Kings","The Speed Kings",0,"1913","\N","8","Comedy,Short,Sport",5,309,1913,"Comedy","","8-minute silent film featuring Fatty Arbuckle.","autoracing"
"17","tt0003424","short","Suspense","Suspense",0,"1913","\N","10","Drama,Horror,Short",7.4,2020,1946,"Film Noir","","An ice-skating revue's star (Belita) is torn between two men.","figureSkating"
"18","tt0003508","movie","Victory","Victory",0,"1913","\N","\N","War",5.7,19,2009,"Drama","","","cricket"
"19","tt0003698","movie","Brewster's Millions","Brewster's Millions",0,"1914","\N","\N","Comedy",6.5,53,1985,"Comedy","","Richard Pryor as a minor-leaguer with a chance to inherit 300 million dollars.","baseball"
"20","tt0004189","short","Kid Auto Races at Venice","Kid Auto Races at Venice",0,"1914","\N","11","Comedy,Short",5.7,3193,1914,"Comedy","","Silent film starring Charlie Chaplin as a spectator who keeps getting in the way.","autoracing"
"21","tt0004194","short","The Knockout","The Knockout",0,"1914","\N","27","Comedy,Short",5.7,1411,1914,"Short, comedy","","To show his girl how brave he is, Pug (Roscoe Arbuckle) challenges a champion.","boxing"
"22","tt0004536","short","The Ring","The Ring",0,"1914","\N","\N","Drama,Short",5.2,33,1927,"Drama","","Alfred Hitchcock silent film about a pugilist known as  ""One-Round Jack.""","boxing"
"23","tt0004536","short","The Ring","The Ring",0,"1914","\N","\N","Drama,Short",5.2,33,1952,"Drama","","A young Mexican (Lalo Ríos) seeks respect of Americans and love of a beauty (Rita Moreno).","boxing"
"24","tt0004546","short","The Rounders","The Rounders",0,"1914","\N","16","Comedy,Short",6.2,1743,1965,"Comedy","","Glenn Ford and Henry Fonda wager nobody in rodeo can ride their horse.","rodeo"
"25","tt0004988","movie","Body and Soul","Body and Soul",0,"1915","\N","50","Drama",NA,NA,1947,"Film noir","","John Garfield is a boxer involved with corrupt promoters. Three Oscar nominations.","boxing"
"26","tt0004988","movie","Body and Soul","Body and Soul",0,"1915","\N","50","Drama",NA,NA,1981,"Drama","","Based on 1947 version, with Leon Isaac Kennedy and then-wife Jayne Kennedy.","boxing"
"27","tt0005074","short","The Champion","The Champion",0,"1915","\N","31","Comedy,Short,Sport",6.7,2676,1915,"Short, comedy","","Charlie Chaplin puts a ""good luck"" horseshoe into his boxing glove and wins.","boxing"
"28","tt0005106","movie","The College Widow","The College Widow",0,"1915","\N","\N","Comedy,Drama",NA,NA,1927,"Comedy","","A coach's daughter helps Atwater College land a star player.","football"
"29","tt0005151","movie","The Cowboy and the Lady","The Cowboy and the Lady",0,"1915","\N","50","Western",NA,NA,1938,"Romance","","A socialite from Palm Beach falls for rodeo cowpoke Stretch Willoughby (Gary Cooper).","rodeo"
"30","tt0005939","movie","The Quest","The Quest",0,"1915","\N","\N","Action,Adventure,Drama",5.1,32,1996,"Action","MMA","In 1925, a pickpocket flees America, ends up fighting for his life near Siam.","martialArts"
"31","tt0005967","movie","Right Off the Bat","Right Off the Bat",0,"1915","\N","\N","Comedy,Drama,Sport",NA,NA,1915,"Drama","","A bio-pic of sorts starring professional baseball player Mike Donlin","baseball"
"32","tt0006247","movie","The Way Back","The Way Back",0,"1915","\N","\N","Crime",NA,NA,2020,"Drama","","An alcoholic construction worker (Ben Affleck) is recruited to become head coach of the basketball team at the high school he used to attend.","basketball"
"33","tt0006491","movie","Casey at the Bat","Casey at the Bat",0,"1916","\N","50","Drama,Sport",NA,NA,1916,"Drama","","A lost five-reeler based on Ernest Thayer's poem and starring DeWolf Hopper","baseball"
"34","tt0006491","movie","Casey at the Bat","Casey at the Bat",0,"1916","\N","50","Drama,Sport",NA,NA,1927,"Comedy","","Wallace Beery in slugger's fable based on Ernest Thayer poem.","baseball"
"35","tt0007137","short","Number One","Number One",0,"1916","\N","\N","Comedy,Short",NA,NA,1969,"Drama","","An aging New Orleans Saints pro quarterback (Charlton Heston) falls into drinking and adultery.","football"
"36","tt0008096","movie","High Speed","High Speed",0,"1917","\N","50","Comedy",NA,NA,1932,"Drama","","An undercover cop races cars while he tries to catch crooks.","autoracing"
"37","tt0008614","short","Speed","Speed",0,"1917","\N","10","Comedy,Short",7.9,14,1930,"","","","autoracing"
"38","tt0008614","short","Speed","Speed",0,"1917","\N","10","Comedy,Short",7.9,14,1936,"Drama","Open Wheel","A carburetor's designer (James Stewart) tries Indy 500, seeks world speed record.","autoracing"
"39","tt0008932","movie","Brown of Harvard","Brown of Harvard",0,"1918","\N","\N","Drama,Sport",NA,NA,1926,"Drama","","Silent film about Harvard football player, based on a Broadway play.","football"
"40","tt0009058","movie","Fast Company","Fast Company",0,"1918","\N","50","Comedy",NA,NA,1979,"Drama","Drag Racing","An up-and-coming drag racer and an aging star cope with a corrupt manager.","autoracing"
"41","tt0009058","movie","Fast Company","Fast Company",0,"1918","\N","50","Comedy",NA,NA,1929,"Comedy","","Elmer Kane (Jack Oakie) hopes the Yankees and an actress are interested in him.","baseball"
"42","tt0009369","movie","Mickey","Mickey",0,"1918","\N","93","Comedy,Drama",6.1,1155,2004,"Drama","","John Grisham story about a Little Leaguer and his father.","baseball"
"43","tt0009530","movie","The Racing Strain","The Racing Strain",0,"1918","\N","50","Drama",NA,NA,1932,"Drama","","A driver who drinks tries to turn around his life.","autoracing"
"44","tt0009729","movie","Twenty-One","Twenty-One",0,"1918","\N","\N","Comedy",NA,NA,1918,"Comedy","","A young man trades places with a lookalike boxer and learns to fight for what he wants.","boxing"
"45","tt0009976","movie","The Busher","The Busher",0,"1919","\N","63","Drama,Sport",6,726,1919,"Comedy","","Small-town ballplayer gets a big head after joining the St. Paul Pink Sox.","baseball"
"46","tt0010188","movie","Greased Lightning","Greased Lightning",0,"1919","\N","50","Comedy",NA,NA,1977,"Biographical","Stock car","True story of stock-car trailblazer Wendell Scott, starring Richard Pryor.","autoracing"
"47","tt0010635","movie","The Roaring Road","The Roaring Road",0,"1919","\N","58","Comedy,Drama,Sport",5.8,651,1919,"Romance","","Car salesman ""Toodles"" Walden becomes a racer.","autoracing"
"48","tt0010724","short","Speed","Speed",0,"1919","\N","\N","Comedy,Short",NA,NA,1930,"","","","autoracing"
"49","tt0010724","short","Speed","Speed",0,"1919","\N","\N","Comedy,Short",NA,NA,1936,"Drama","Open Wheel","A carburetor's designer (James Stewart) tries Indy 500, seeks world speed record.","autoracing"
"50","tt0010732","short","Spring Fever","Spring Fever",0,"1919","\N","10","Comedy,Short",5.9,236,1927,"Comedy","","Silent film about a golfer who hopes to marry a rich girl (Joan Crawford).","golf"
"51","tt0010769","movie","Thin Ice","Thin Ice",0,"1919","\N","50","Drama",NA,NA,1937,"Romance","","Sonja Henie is a ski instructor and skater who falls for a prince.","figureSkating"
"52","tt0010800","movie","Treat 'Em Rough","Treat 'Em Rough",0,"1919","\N","50","Western",NA,NA,1942,"Comedy","","The Panama Kid (Eddie Albert) learns his father's accused of embezzling.","boxing"
"53","tt0010844","movie","Victory","Victory",0,"1919","\N","62","Drama,Romance",6.4,445,2009,"Drama","","","cricket"
"54","tt0011163","movie","Excuse My Dust","Excuse My Dust",0,"1920","\N","50","Comedy,Drama",5.7,63,1920,"Comedy","","Wife wants Toodles to give up racing in Roaring Road sequel.","autoracing"
"55","tt0011267","movie","Headin' Home","Headin' Home",0,"1920","\N","71","Biography,Comedy,Drama",5.1,317,1920,"Biographical","","A silent film about young Babe Ruth, who stars as himself.","baseball"
"56","tt0011421","movie","The Luck of the Irish","The Luck of the Irish",0,"1920","\N","70","Drama",2.3,42,2001,"Comedy","","TV family film about a junior high school student.","basketball"
"57","tt0011968","movie","The Big Punch","The Big Punch",0,"1921","\N","50","Western",4.2,55,1948,"Drama","","Refusing to take a dive, an honest kid (Gordon MacRae) gets framed for a murder.","boxing"
"58","tt0011998","movie","Brewster's Millions","Brewster's Millions",0,"1921","\N","61","Comedy",7,47,1985,"Comedy","","Richard Pryor as a minor-leaguer with a chance to inherit 300 million dollars.","baseball"
"59","tt0012066","movie","Conflict","Conflict",0,"1921","\N","70","Drama",NA,NA,1936,"Drama","","John Wayne as a con man who loses bareknuckle bouts on purpose.","boxing"
"60","tt0012161","movie","The Fighter","The Fighter",0,"1921","\N","50","Drama",NA,NA,1952,"Drama","","A story by Jack London about a fighter during the 1910 Mexican rebellion.","boxing"
"61","tt0012161","movie","The Fighter","The Fighter",0,"1921","\N","50","Drama",NA,NA,1983,"Drama","","A Vietnam vet turns to boxing to raise money.","boxing"
"62","tt0012161","movie","The Fighter","The Fighter",0,"1921","\N","50","Drama",NA,NA,2010,"Biographical","","Story of Micky Ward (Mark Wahlberg) and half-brother Dicky Eklund (Christian Bale). Oscars for Bale and Melissa Leo.","boxing"
"63","tt0012347","short","Kid Speed","Kid Speed",0,"1924","\N","18","Action,Comedy,Romance",5.8,257,1924,"Comedy","","A race organizer drops hints that his daughter's time will go to the winner.","autoracing"
"64","tt0012349","movie","The Kid","The Kid",0,"1921","\N","68","Comedy,Drama,Family",8.2,131434,1997,"Drama","","A teen boxes while keeping it a secret from his parents. Stars Rod Steiger.","boxing"
"65","tt0012785","movie","Two Minutes to Go","Two Minutes to Go",0,"1921","\N","60","Comedy,Drama",NA,NA,1921,"Comedy","","A star of the college football team (Charles Ray) was forced to work as a milkman when his father's business begins to fail. Now considered a lost film.","football"
"66","tt0013008","short","Champions","Champions",0,"1922","\N","\N","Animation,Short",NA,NA,2023,"Comedy","","A temperamental minor-league basketball coach who after an arrest must coach a team of players with intellectual disabilities as community service.","basketball"
"67","tt0013008","short","Champions","Champions",0,"1922","\N","\N","Animation,Short",NA,NA,1983,"Biographical","","Based on the story of the winners of the 1981 Grand National—Aldaniti, who came back from chronic leg injuries, and jockey Bob Champion, a testicular cancer survivor. Starring John Hurt.","horse"
"68","tt0013008","short","Champions","Champions",0,"1922","\N","\N","Animation,Short",NA,NA,2008,"Action","Wushu","","martialArts"
"69","tt0013030","movie","The Cowboy and the Lady","The Cowboy and the Lady",0,"1922","\N","50","Romance,Western",NA,NA,1938,"Romance","","A socialite from Palm Beach falls for rodeo cowpoke Stretch Willoughby (Gary Cooper).","rodeo"
"70","tt0013194","short","Golf","Golf",0,"1922","\N","25","Comedy,Short",5.8,81,1922,"Comedy","","A golfer digs holes in his floor and plays indoors, smashing mirrors and vases.","golf"
"71","tt0013308","movie","The Leather Pushers","The Leather Pushers",0,"1922","\N","\N","Drama,Sport",6.3,16,1922,"Serial","","After his father goes broke, a young man (Reginald Denny) fights for money.","boxing"
"72","tt0013391","movie","The Milky Way","The Milky Way",0,"1922","\N","50","Western",5.4,12,1936,"Comedy","","A milkman (Harold Lloyd) who can deliver a punch becomes an overnight sensation.","boxing"
"73","tt0013630","movie","Speed","Speed",0,"1922","\N","300","Action,Drama",NA,NA,1930,"","","","autoracing"
"74","tt0013630","movie","Speed","Speed",0,"1922","\N","300","Action,Drama",NA,NA,1936,"Drama","Open Wheel","A carburetor's designer (James Stewart) tries Indy 500, seeks world speed record.","autoracing"
