AgeClass,Name,Sex,Event,Equipment,Age,BirthYearClass,Division,BodyweightKg,WeightClassKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,Lift,Best_lift
13-15,Gina Eichhorn,FALSE,SBD,Single-ply,14,14-18,Youth,60,60,227.5,2,252.19,253.64,224.1,42.26,Yes,NA,NA,BVDK,Best3SquatKg,62.5
13-15,Gina Eichhorn,FALSE,SBD,Single-ply,14,14-18,Youth,60,60,227.5,2,252.19,253.64,224.1,42.26,Yes,NA,NA,BVDK,Best3BenchKg,75
13-15,Gina Eichhorn,FALSE,SBD,Single-ply,14,14-18,Youth,60,60,227.5,2,252.19,253.64,224.1,42.26,Yes,NA,NA,BVDK,Best3DeadliftKg,90
13-15,Dani Paterson,FALSE,SBD,Raw,14.5,14-18,Sub-Juniors,54.48,57,220,3,259.74,264.49,234.11,53.45,Yes,Canada,AB,CPU,Best3SquatKg,82.5
13-15,Dani Paterson,FALSE,SBD,Raw,14.5,14-18,Sub-Juniors,54.48,57,220,3,259.74,264.49,234.11,53.45,Yes,Canada,AB,CPU,Best3BenchKg,40
13-15,Dani Paterson,FALSE,SBD,Raw,14.5,14-18,Sub-Juniors,54.48,57,220,3,259.74,264.49,234.11,53.45,Yes,Canada,AB,CPU,Best3DeadliftKg,97.5
13-15,Sequora Johnston,FALSE,SBD,Raw,15,14-18,FR-HS,85,90,302.5,1,276.8,268.19,234.25,56.87,Yes,USA,PA,USAPL,Best3SquatKg,110
13-15,Sequora Johnston,FALSE,SBD,Raw,15,14-18,FR-HS,85,90,302.5,1,276.8,268.19,234.25,56.87,Yes,USA,PA,USAPL,Best3BenchKg,65
13-15,Sequora Johnston,FALSE,SBD,Raw,15,14-18,FR-HS,85,90,302.5,1,276.8,268.19,234.25,56.87,Yes,USA,PA,USAPL,Best3DeadliftKg,127.5
13-15,Emmanuella Gustave-Paul,FALSE,SBD,Raw,14.5,14-18,FR-V,44.6,48,260,1,354.42,362.77,324.91,76.07,Yes,USA,MA,USAPL,Best3SquatKg,92.5
13-15,Emmanuella Gustave-Paul,FALSE,SBD,Raw,14.5,14-18,FR-V,44.6,48,260,1,354.42,362.77,324.91,76.07,Yes,USA,MA,USAPL,Best3BenchKg,40
13-15,Emmanuella Gustave-Paul,FALSE,SBD,Raw,14.5,14-18,FR-V,44.6,48,260,1,354.42,362.77,324.91,76.07,Yes,USA,MA,USAPL,Best3DeadliftKg,127.5
13-15,Liesbeth Beckert,FALSE,SBD,Raw,14.5,14-18,Youth B,79.5,84,217.5,2,205.58,199.71,175.21,42.02,Yes,NA,NA,BVDK,Best3SquatKg,70
13-15,Liesbeth Beckert,FALSE,SBD,Raw,14.5,14-18,Youth B,79.5,84,217.5,2,205.58,199.71,175.21,42.02,Yes,NA,NA,BVDK,Best3BenchKg,42.5
13-15,Liesbeth Beckert,FALSE,SBD,Raw,14.5,14-18,Youth B,79.5,84,217.5,2,205.58,199.71,175.21,42.02,Yes,NA,NA,BVDK,Best3DeadliftKg,105
13-15,Avery Wood #3,FALSE,SBD,Raw,14,14-18,Juniors 13-15,72.6,75,270,1,267.6,262.09,230.8,54.44,Yes,USA,UT,USPA,Best3SquatKg,105
13-15,Avery Wood #3,FALSE,SBD,Raw,14,14-18,Juniors 13-15,72.6,75,270,1,267.6,262.09,230.8,54.44,Yes,USA,UT,USPA,Best3BenchKg,52.5
13-15,Avery Wood #3,FALSE,SBD,Raw,14,14-18,Juniors 13-15,72.6,75,270,1,267.6,262.09,230.8,54.44,Yes,USA,UT,USPA,Best3DeadliftKg,112.5
13-15,Taylor Towner,FALSE,SBD,Single-ply,15,14-18,F-JV,56.4,60,240,6,276.88,280.81,248.36,46.31,Yes,NA,NA,USAPL,Best3SquatKg,85
13-15,Taylor Towner,FALSE,SBD,Single-ply,15,14-18,F-JV,56.4,60,240,6,276.88,280.81,248.36,46.31,Yes,NA,NA,USAPL,Best3BenchKg,37.5
13-15,Taylor Towner,FALSE,SBD,Single-ply,15,14-18,F-JV,56.4,60,240,6,276.88,280.81,248.36,46.31,Yes,NA,NA,USAPL,Best3DeadliftKg,117.5
13-15,Anastasiya Mokhova,FALSE,SBD,Raw,14.5,14-18,Open,51.06,52,155,1,191.35,195.96,173.83,39.76,Yes,NA,NA,FPR,Best3SquatKg,52.5
13-15,Anastasiya Mokhova,FALSE,SBD,Raw,14.5,14-18,Open,51.06,52,155,1,191.35,195.96,173.83,39.76,Yes,NA,NA,FPR,Best3BenchKg,30
13-15,Anastasiya Mokhova,FALSE,SBD,Raw,14.5,14-18,Open,51.06,52,155,1,191.35,195.96,173.83,39.76,Yes,NA,NA,FPR,Best3DeadliftKg,72.5
13-15,Jessika Markus,FALSE,SBD,Raw,15,14-18,Youth B,81.4,84,242.5,1,226.55,219.8,192.56,46.38,Yes,NA,NA,BVDK,Best3SquatKg,87.5
13-15,Jessika Markus,FALSE,SBD,Raw,15,14-18,Youth B,81.4,84,242.5,1,226.55,219.8,192.56,46.38,Yes,NA,NA,BVDK,Best3BenchKg,45
13-15,Jessika Markus,FALSE,SBD,Raw,15,14-18,Youth B,81.4,84,242.5,1,226.55,219.8,192.56,46.38,Yes,NA,NA,BVDK,Best3DeadliftKg,110
13-15,Cathia Vazquez,FALSE,SBD,Single-ply,15,14-18,T 14-15,48,48,247.5,1,319.39,327.79,291.76,53.38,Yes,Puerto Rico,NA,AAU,Best3SquatKg,105
13-15,Cathia Vazquez,FALSE,SBD,Single-ply,15,14-18,T 14-15,48,48,247.5,1,319.39,327.79,291.76,53.38,Yes,Puerto Rico,NA,AAU,Best3BenchKg,40
13-15,Cathia Vazquez,FALSE,SBD,Single-ply,15,14-18,T 14-15,48,48,247.5,1,319.39,327.79,291.76,53.38,Yes,Puerto Rico,NA,AAU,Best3DeadliftKg,102.5
13-15,Karina Sazonova,FALSE,SBD,Single-ply,14.5,14-18,Sub-Juniors,59.85,63,222.5,2,247.04,248.54,219.61,41.39,Yes,NA,NA,FPR,Best3SquatKg,90
13-15,Karina Sazonova,FALSE,SBD,Single-ply,14.5,14-18,Sub-Juniors,59.85,63,222.5,2,247.04,248.54,219.61,41.39,Yes,NA,NA,FPR,Best3BenchKg,45
13-15,Karina Sazonova,FALSE,SBD,Single-ply,14.5,14-18,Sub-Juniors,59.85,63,222.5,2,247.04,248.54,219.61,41.39,Yes,NA,NA,FPR,Best3DeadliftKg,87.5
13-15,Olivia Herchelroth,FALSE,SBD,Raw,14.5,14-18,FR-T1,62.1,63,282.5,1,306.52,306.73,270.9,62.39,Yes,USA,NJ,USAPL,Best3SquatKg,110
13-15,Olivia Herchelroth,FALSE,SBD,Raw,14.5,14-18,FR-T1,62.1,63,282.5,1,306.52,306.73,270.9,62.39,Yes,USA,NJ,USAPL,Best3BenchKg,47.5
13-15,Olivia Herchelroth,FALSE,SBD,Raw,14.5,14-18,FR-T1,62.1,63,282.5,1,306.52,306.73,270.9,62.39,Yes,USA,NJ,USAPL,Best3DeadliftKg,125
13-15,Anikta Dhar,FALSE,SBD,Raw,13.5,14-18,Sub-Juniors,96.2,84+,305,6,264.32,257.04,221.86,54.99,Yes,NA,NA,PI,Best3SquatKg,120
13-15,Anikta Dhar,FALSE,SBD,Raw,13.5,14-18,Sub-Juniors,96.2,84+,305,6,264.32,257.04,221.86,54.99,Yes,NA,NA,PI,Best3BenchKg,62.5
13-15,Anikta Dhar,FALSE,SBD,Raw,13.5,14-18,Sub-Juniors,96.2,84+,305,6,264.32,257.04,221.86,54.99,Yes,NA,NA,PI,Best3DeadliftKg,122.5
13-15,Mily Norris,FALSE,SBD,Raw,14,14-18,Open,66.81,67.5,205,2,212.9,210.78,185.97,43.26,Yes,USA,PA,RAW,Best3SquatKg,67.5
13-15,Mily Norris,FALSE,SBD,Raw,14,14-18,Open,66.81,67.5,205,2,212.9,210.78,185.97,43.26,Yes,USA,PA,RAW,Best3BenchKg,37.5
13-15,Mily Norris,FALSE,SBD,Raw,14,14-18,Open,66.81,67.5,205,2,212.9,210.78,185.97,43.26,Yes,USA,PA,RAW,Best3DeadliftKg,100
13-15,Mackenzie Schuur,FALSE,SBD,Raw,14.5,14-18,FR-O,68.8,69,247.5,6,252.74,249.21,219.75,51.36,Yes,USA,MI,USAPL,Best3SquatKg,90
13-15,Mackenzie Schuur,FALSE,SBD,Raw,14.5,14-18,FR-O,68.8,69,247.5,6,252.74,249.21,219.75,51.36,Yes,USA,MI,USAPL,Best3BenchKg,45
13-15,Mackenzie Schuur,FALSE,SBD,Raw,14.5,14-18,FR-O,68.8,69,247.5,6,252.74,249.21,219.75,51.36,Yes,USA,MI,USAPL,Best3DeadliftKg,112.5
13-15,Mattie Isaac,FALSE,SBD,Raw,14.5,14-18,FR-HS,80.4,84,277.5,20,260.83,253.21,222,53.35,Yes,USA,WI,USAPL,Best3SquatKg,110
13-15,Mattie Isaac,FALSE,SBD,Raw,14.5,14-18,FR-HS,80.4,84,277.5,20,260.83,253.21,222,53.35,Yes,USA,WI,USAPL,Best3BenchKg,42.5
13-15,Mattie Isaac,FALSE,SBD,Raw,14.5,14-18,FR-HS,80.4,84,277.5,20,260.83,253.21,222,53.35,Yes,USA,WI,USAPL,Best3DeadliftKg,125
13-15,Abigail Flemion,FALSE,SBD,Raw,15,14-18,FR-T1,66.2,67.5,395,1,412.44,408.86,360.79,83.81,Yes,USA,VA,USAPL,Best3SquatKg,142.5
13-15,Abigail Flemion,FALSE,SBD,Raw,15,14-18,FR-T1,66.2,67.5,395,1,412.44,408.86,360.79,83.81,Yes,USA,VA,USAPL,Best3BenchKg,85
