Bib,Name,Country,Division,Division_Rank,Overall_Time,Overall_Rank,Swim_Time,Swim_Rank,Bike_Time,Bike_Rank,Run_Time,Run_Rank,Finish_Status
932,Jill Beccaris-Pescatore,United States,F55-59,35,14:53:52,1496,1:34:39,2029,7:34:05,1684,5:27:38,1351,Finisher
211,Makayla Clauson,United States,F18-24,14,14:51:30,1487,1:24:41,1518,8:25:12,2182,4:48:02,821,Finisher
1891,Jennifer Sager,United States,F30-34,43,14:50:41,1482,1:32:43,1968,7:37:08,1721,5:21:38,1275,Finisher
619,Jaquelin Hubbard,United States,F40-44,48,14:50:16,1480,1:12:18,623,6:20:16,592,6:59:18,2103,Finisher
995,Sharon Michaelson,United States,F60-64,8,14:49:12,1475,1:38:41,2117,7:10:12,1357,5:33:24,1419,Finisher
2267,Erika Banach,United States,F40-44,47,14:47:42,1469,1:21:50,1310,7:54:29,1941,5:17:19,1223,Finisher
1930,Amy Brown,Canada,F55-59,34,14:46:40,1466,1:22:51,1380,7:02:50,1242,5:55:24,1664,Finisher
1928,Brenda Young,Canada,F55-59,33,14:46:38,1465,1:33:20,1983,7:02:48,1241,5:55:25,1665,Finisher
1650,Lindsay Horbatuck,United States,F30-34,42,14:46:35,1464,1:29:24,1833,7:48:57,1872,5:14:01,1167,Finisher
302,Mary Guertin,United States,F55-59,32,14:45:07,1457,1:49:51,2288,6:24:05,645,6:12:44,1845,Finisher
1919,Christine Monaghan,United States,F45-49,42,14:45:06,1456,1:17:28,981,7:15:54,1433,5:43:47,1523,Finisher
1765,Kelley Thibodeau,United States,F50-54,34,14:45:04,1455,1:21:58,1323,6:47:52,1014,6:16:53,1883,Finisher
145,Joline Fong,United States,F18-24,13,14:45:03,1454,1:09:15,438,8:02:48,2024,5:11:00,1143,Finisher
320,Heather Bullis-Cruz,United States,F55-59,31,14:44:58,1453,1:18:07,1024,7:10:33,1362,5:56:10,1671,Finisher
725,Katherine Treacy,United States,F18-24,12,14:43:56,1448,1:03:32,210,7:21:55,1527,6:04:40,1763,Finisher
237,Kristin Stuart,United States,F30-34,41,14:43:28,1444,1:50:39,2297,7:40:34,1761,4:53:04,889,Finisher
1390,Ashley Zahm,United States,F40-44,46,14:43:02,1443,1:24:24,1494,7:49:32,1879,5:07:33,1086,Finisher
931,Ann Thoresen,United States,F55-59,30,14:41:57,1433,1:41:31,2188,7:46:21,1839,4:58:17,960,Finisher
1058,Jennifer Corelli,Canada,F40-44,45,14:41:42,1430,1:21:28,1282,7:08:20,1329,5:49:58,1604,Finisher
2108,Leah Reinberger,Canada,F45-49,41,14:40:57,1424,1:43:49,2228,7:25:08,1566,5:15:52,1197,Finisher
1402,Natalie Parent,Canada,F40-44,44,14:40:20,1421,1:22:56,1386,7:40:41,1762,5:13:56,1165,Finisher
1443,Kelly Heil,United States,F40-44,43,14:40:18,1420,1:16:15,890,7:40:54,1768,5:20:52,1262,Finisher
1351,Hillary Prager,United States,F35-39,40,14:39:46,1417,1:28:03,1756,7:47:48,1856,5:05:43,1059,Finisher
1460,Shannon Hunsicker,United States,F45-49,40,14:39:22,1415,1:23:50,1457,7:20:13,1503,5:37:32,1460,Finisher
1447,Carlie Hildenbrand,United States,F25-29,32,14:39:12,1414,1:25:33,1584,7:59:02,1994,4:51:48,873,Finisher
590,Christina Hahn,United States,F35-39,39,14:38:45,1411,1:16:48,929,6:54:06,1116,6:07:01,1791,Finisher
2184,Melanie Chapman,Canada,F45-49,39,14:38:31,1409,1:33:58,2008,7:32:09,1665,5:20:53,1263,Finisher
675,Elizabeth Oshea,United States,F50-54,33,14:38:12,1406,1:28:36,1781,7:43:42,1812,5:02:10,1009,Finisher
338,Karen Gale,Australia,F50-54,32,14:37:56,1404,1:25:56,1617,7:31:53,1660,5:21:06,1267,Finisher
813,Vanessa Dicicco,United States,F50-54,31,14:36:39,1402,1:26:21,1639,7:16:41,1445,5:28:42,1362,Finisher
2353,Jill Smith Nicholas,United States,F40-44,42,14:36:12,1401,1:29:22,1831,8:06:38,2061,4:26:43,562,Finisher
1946,Jennifer El Sherif,United States,F50-54,30,14:35:58,1398,1:01:53,174,7:22:38,1533,5:56:41,1677,Finisher
1241,Teresa Davenport,United States,F40-44,41,14:35:36,1397,1:14:38,773,7:23:06,1544,5:38:04,1464,Finisher
2208,Clarence Paquin,Canada,F25-29,31,14:32:40,1379,1:28:53,1801,7:54:53,1949,4:47:49,819,Finisher
845,Nancy Clinkenbeard,United States,F55-59,29,14:32:13,1377,1:19:48,1149,7:41:46,1785,5:15:57,1199,Finisher
757,Alexandra Mcgee,United States,F18-24,11,14:32:10,1376,1:28:42,1789,7:41:13,1776,5:05:36,1055,Finisher
2285,Anakin Mcmahon,Canada,F18-24,10,14:31:45,1375,1:10:56,536,7:07:30,1318,5:56:37,1676,Finisher
2566,Kim Hoang Trinh,Canada,F30-34,40,14:30:21,1365,1:27:33,1720,7:44:42,1820,4:43:34,767,Finisher
2513,Katherine Jones,United States,F30-34,39,14:29:51,1363,1:39:50,2158,7:32:44,1670,4:58:38,966,Finisher
2529,Breana Siljander,United States,F30-34,38,14:29:49,1362,1:25:56,1616,7:55:13,1951,4:48:56,831,Finisher
901,Karin Whetzel,United States,F40-44,40,14:29:26,1360,1:25:53,1612,7:30:21,1641,5:08:29,1096,Finisher
1732,Carol Kilner,Canada,F55-59,28,14:28:58,1358,1:28:04,1758,7:20:22,1505,5:19:00,1239,Finisher
1439,Alise James,United States,F30-34,37,14:28:36,1355,1:05:43,275,7:14:48,1420,5:40:55,1493,Finisher
2058,Dieyi Situ,Canada,F50-54,29,14:28:32,1352,1:43:13,2221,7:21:13,1516,4:56:11,934,Finisher
396,Tracy Kramer,United States,F55-59,27,14:27:49,1347,1:17:36,987,7:11:10,1372,5:28:44,1364,Finisher
1426,Lisa Pizzuto,United States,F55-59,26,14:27:19,1341,1:05:26,270,7:19:05,1479,5:44:29,1530,Finisher
961,Megan Stever,Canada,F35-39,38,14:27:05,1337,1:13:31,685,7:25:48,1581,5:26:42,1332,Finisher
136,Elizabeth Wood,United States,F55-59,25,14:26:15,1329,1:13:38,695,7:04:18,1263,5:49:15,1589,Finisher
1388,Laura Stanley,United States,F55-59,24,14:25:07,1321,1:19:31,1130,7:33:27,1679,5:10:07,1121,Finisher
1745,Jessica Testerman,United States,F45-49,38,14:23:46,1316,1:15:59,869,7:29:13,1624,5:17:19,1224,Finisher
1424,Dana Finch,United States,F35-39,37,14:23:41,1315,1:16:53,938,7:07:41,1320,5:41:17,1496,Finisher
597,Holly Wittsack,United States,F40-44,39,14:23:33,1314,1:02:10,178,7:35:10,1702,5:29:00,1367,Finisher
504,Heather Frank,United States,F50-54,28,14:23:24,1313,1:12:16,621,6:54:11,1118,5:54:56,1658,Finisher
671,Amelie Boudreau,Canada,F30-34,36,14:22:55,1312,1:13:18,672,7:12:05,1385,5:40:44,1491,Finisher
905,Joey Gordon,United States,F50-54,27,14:21:49,1308,1:25:40,1596,7:48:55,1871,4:45:07,784,Finisher
1158,Claire Bruce,United States,F30-34,35,14:21:29,1305,1:29:37,1848,6:52:02,1080,5:42:24,1506,Finisher
1577,Ailing Wang,United States,F60-64,7,14:20:31,1298,1:21:44,1303,7:56:57,1969,4:39:12,715,Finisher
2420,Andrea Velas,United States,F40-44,38,14:20:28,1297,1:32:29,1951,7:16:16,1439,5:10:55,1139,Finisher
730,Stephanie Nebenzahl,United States,F40-44,37,14:19:16,1294,1:18:17,1038,7:42:51,1799,4:57:27,949,Finisher
1663,Erica Jennings,United States,F30-34,34,14:18:48,1292,1:12:51,651,7:27:52,1606,5:23:15,1292,Finisher
1835,Dora Tavel-Sanchez Luz,United States,F50-54,26,14:18:17,1286,1:24:41,1519,7:30:23,1642,5:04:27,1035,Finisher
566,Colleen Porter,United States,F45-49,37,14:17:24,1283,1:14:07,730,6:53:15,1103,5:53:34,1647,Finisher
884,Mary White,United States,F60-64,6,14:16:38,1276,1:19:18,1117,7:21:27,1517,5:09:44,1111,Finisher
1312,Tristan Pike,United States,F30-34,33,14:16:10,1275,1:11:16,562,7:18:52,1474,5:28:10,1356,Finisher
1764,Maria Drazek,United States,F35-39,36,14:14:44,1268,1:28:31,1776,6:51:19,1068,5:29:10,1370,Finisher
1013,Jennifer Nasto,United States,F50-54,25,14:14:35,1267,1:26:06,1626,7:33:52,1682,4:48:41,827,Finisher
1758,Alexandria Marr,United States,F30-34,32,14:14:01,1265,1:23:32,1440,7:19:27,1488,5:04:51,1043,Finisher
981,Alison Alcantara,United States,F35-39,35,14:13:54,1263,1:16:05,879,6:57:45,1171,5:40:21,1486,Finisher
1185,Therese Dymek,United States,F50-54,24,14:13:15,1261,1:08:31,393,7:27:29,1601,5:14:44,1180,Finisher
1843,Jessica Decker,United States,F35-39,34,14:13:04,1258,1:15:45,854,6:48:55,1031,5:47:53,1571,Finisher
1079,Makenzie Ludwig,United States,F25-29,30,14:12:08,1252,1:18:29,1061,6:58:55,1189,5:34:21,1431,Finisher
1659,Daria Bakina,United States,F35-39,33,14:11:43,1250,1:08:00,370,7:17:41,1464,5:25:58,1320,Finisher
1665,Andrea Kay,United States,F50-54,23,14:11:35,1248,1:18:41,1075,7:35:21,1706,4:55:36,922,Finisher
1734,Stephanie Filion,Canada,F35-39,32,14:11:27,1244,1:27:43,1728,7:18:45,1473,5:10:12,1124,Finisher
2026,Hannah Cupples,United States,F25-29,29,14:11:14,1239,1:16:33,912,7:23:38,1553,5:15:06,1183,Finisher
383,Eunice Moon,United States,F55-59,23,14:11:10,1238,1:34:02,2012,6:42:53,945,5:31:07,1395,Finisher
1871,Emily Melton,United States,F18-24,9,14:10:36,1236,1:25:34,1586,7:15:12,1426,5:14:06,1169,Finisher
1525,Sharon Johnson,Canada,F45-49,36,14:09:40,1228,1:15:04,794,6:48:09,1017,5:48:07,1574,Finisher
2054,Bei Huang,Canada,F50-54,22,14:09:40,1227,1:36:03,2059,7:13:11,1399,4:51:38,870,Finisher
596,Sarah Beerman,United States,F30-34,31,14:09:10,1226,1:17:05,953,8:00:17,2004,4:33:52,647,Finisher
1236,Katherine Maalouf,United States,F60-64,5,14:09:06,1225,1:20:22,1200,7:00:00,1202,5:27:18,1341,Finisher
1073,Patricia Pedersen,Canada,F55-59,22,14:08:39,1224,1:24:51,1537,6:45:10,968,5:35:54,1442,Finisher
2035,Kanako Inuyama,Japan,F50-54,21,14:08:25,1222,1:18:04,1019,7:10:52,1367,5:19:34,1243,Finisher
491,Lynn Mccuaig,Canada,F50-54,20,14:06:54,1215,1:16:20,895,7:12:12,1390,5:16:27,1205,Finisher
800,Elizabeth Sweet,United States,F45-49,35,14:06:49,1214,1:28:48,1794,7:19:07,1481,4:58:02,955,Finisher
887,Britt Linkous,United States,F30-34,30,14:04:53,1202,1:08:53,417,6:51:57,1079,5:51:25,1626,Finisher
915,Jill Lasseter,United States,F40-44,36,14:03:14,1197,1:20:51,1230,6:59:21,1194,5:27:44,1354,Finisher
1205,Katie Lee,United States,F25-29,28,14:02:56,1195,1:17:57,1018,7:42:49,1798,4:37:53,695,Finisher
1997,Casey Hathorn,United States,F30-34,29,14:01:52,1191,1:17:13,968,7:30:42,1647,4:54:12,904,Finisher
681,Victoria Brumfield,United States,F45-49,34,14:00:46,1188,1:23:36,1442,7:13:34,1407,5:09:10,1105,Finisher
912,Lauren Lotocky,United States,F30-34,28,14:00:02,1182,1:18:50,1086,6:56:09,1142,5:26:03,1322,Finisher
2518,Ally Carbone,United States,F25-29,27,13:59:23,1175,1:33:23,1987,7:31:15,1652,4:38:44,711,Finisher
2339,Jill Livingston,United States,F50-54,19,13:59:14,1174,1:11:01,544,7:07:00,1307,5:23:47,1300,Finisher
925,Magdalena Petryk,United States,F60-64,4,13:59:01,1173,1:32:51,1971,7:04:31,1266,5:01:00,997,Finisher
1120,Jill Frankie,United States,F45-49,33,13:59:00,1172,1:16:16,891,7:20:21,1504,5:04:32,1036,Finisher
967,Stephanie Moses,United States,F30-34,27,13:58:42,1170,1:16:23,898,7:03:51,1259,5:19:57,1250,Finisher
451,Martyna Brooks,United States,F35-39,31,13:58:35,1169,1:27:12,1694,8:07:11,2070,4:05:01,352,Finisher
1744,Christine Walton,Canada,F45-49,32,13:56:26,1159,1:11:48,590,7:07:29,1317,5:04:00,1031,Finisher
816,Krista Sermon,United States,F40-44,35,13:55:52,1156,1:18:06,1021,7:05:57,1293,5:18:46,1237,Finisher
1882,Reiley Adelson,United States,F25-29,26,13:55:38,1154,1:06:26,309,7:27:11,1597,5:05:19,1047,Finisher
1198,Kathy Laska,United States,F50-54,18,13:55:01,1148,1:26:27,1647,7:07:24,1313,4:50:36,859,Finisher
696,Ruthie Sloan,Canada,F40-44,34,13:55:00,1147,1:24:08,1480,7:14:19,1414,4:38:34,707,Finisher
324,Deanne Webster,United States,F45-49,31,13:54:47,1146,1:21:12,1259,7:37:47,1727,4:36:28,677,Finisher
203,Kelly Sweeney,United States,F30-34,26,13:53:29,1140,1:33:38,1996,7:34:27,1693,4:25:42,549,Finisher
1462,Katie Zera,United States,F40-44,33,13:53:13,1139,1:23:28,1438,7:25:35,1575,4:50:09,848,Finisher
1477,Clare Brofford,United States,F50-54,17,13:52:48,1133,1:04:47,243,6:51:21,1069,5:36:29,1446,Finisher
1332,Christina Ardito,United States,F45-49,30,13:51:04,1121,1:29:21,1830,6:54:03,1114,5:08:50,1100,Finisher
1640,Lily Jones,Canada,F30-34,25,13:49:46,1113,1:27:02,1683,7:27:25,1599,4:29:53,604,Finisher
1569,Julia Becker,United States,F35-39,30,13:49:43,1112,1:23:46,1452,6:52:22,1087,5:18:27,1233,Finisher
1576,Esther Caballero-Manrique,United States,F45-49,29,13:49:35,1109,1:19:52,1159,7:09:23,1346,5:01:46,1006,Finisher
1101,Samar Emami,United States,F40-44,32,13:48:03,1098,1:28:24,1769,7:10:06,1356,4:46:37,803,Finisher
2348,Laurie Comerford,United States,F55-59,21,13:47:38,1096,1:08:38,399,7:04:47,1270,5:09:50,1115,Finisher
1321,Erica Parriott,United States,F30-34,24,13:46:45,1090,1:17:06,959,6:59:35,1198,5:16:37,1207,Finisher
1009,Janelle Fabian,United States,F35-39,29,13:46:43,1089,1:12:17,622,7:00:55,1210,5:14:35,1178,Finisher
1203,Leah Dekalb,United States,F35-39,28,13:46:15,1085,1:28:09,1761,7:14:05,1411,4:46:53,810,Finisher
919,Stacy Marcus,United States,F40-44,31,13:45:38,1079,1:17:12,966,7:21:31,1518,4:50:13,851,Finisher
2161,Lindsay Holmes,United States,F40-44,30,13:45:15,1075,1:33:16,1980,7:10:50,1366,4:42:15,748,Finisher
539,Christina Kinney,United States,F30-34,23,13:44:40,1071,1:39:28,2147,7:12:08,1386,4:32:54,638,Finisher
1491,Rachel Paepke,United States,F40-44,29,13:43:41,1066,1:13:13,669,7:33:43,1681,4:34:38,658,Finisher
1579,Kelly Graham,Canada,F50-54,16,13:43:36,1064,1:25:05,1551,7:09:49,1354,4:45:16,786,Finisher
779,Ginny Traber,United States,F40-44,28,13:42:47,1054,1:36:59,2087,7:16:54,1453,4:37:44,693,Finisher
1064,Jessica Reissig,United States,F45-49,28,13:42:22,1050,1:39:24,2143,7:13:31,1405,4:20:32,485,Finisher
362,Kate Scirocco,United States,F30-34,22,13:41:19,1044,1:28:55,1804,6:24:39,655,5:37:01,1452,Finisher
1844,Lonnie Halusic,United States,F55-59,20,13:41:11,1041,1:22:46,1377,7:05:47,1291,4:52:11,878,Finisher
1385,Dorothee Fuller,United States,F55-59,19,13:40:26,1035,1:26:38,1655,7:01:48,1226,4:58:23,961,Finisher
2227,Marlene Sykes,Canada,F40-44,27,13:40:04,1031,1:13:58,716,6:58:24,1182,5:14:24,1174,Finisher
2403,Justine Trybendis,United States,F40-44,26,13:39:32,1028,1:38:51,2123,7:07:53,1322,4:34:43,660,Finisher
406,Janine Bodden,United States,F40-44,25,13:38:37,1022,1:17:26,979,7:06:25,1302,4:56:06,931,Finisher
873,Hillary Williams,United States,F35-39,27,13:38:03,1018,1:24:42,1521,7:25:37,1576,4:31:00,616,Finisher
644,Shannon Clancy,Canada,F35-39,26,13:37:31,1014,1:23:00,1391,6:18:32,565,5:43:35,1519,Finisher
1954,Jennifer Stodgell,United States,F30-34,21,13:37:16,1012,1:13:31,684,7:01:27,1218,5:06:35,1071,Finisher
764,Janna Perry,United States,F55-59,18,13:37:02,1009,1:18:08,1025,7:38:58,1745,4:21:05,494,Finisher
2104,Amy Bowse,United States,F55-59,17,13:34:51,995,1:22:22,1342,7:04:05,1261,4:39:47,722,Finisher
214,Nicole Slattery,United States,F55-59,16,13:34:36,994,1:17:32,983,6:45:06,966,5:15:33,1190,Finisher
1627,Margaret Brown,United States,F35-39,25,13:33:43,989,1:23:28,1437,6:52:55,1098,4:59:18,974,Finisher
626,Tracy Parramore,United States,F45-49,27,13:33:11,982,1:10:59,540,6:42:42,942,5:19:36,1246,Finisher
1642,Stephanie Hightower,United States,F40-44,24,13:31:46,974,1:09:17,443,7:08:31,1332,4:52:11,877,Finisher
1038,Blanca Grinkovitch,United States,F55-59,15,13:31:34,972,1:32:18,1947,7:17:42,1465,4:24:28,534,Finisher
1868,Annemarie Spragins,United States,F30-34,20,13:30:34,965,1:23:24,1427,6:52:20,1085,4:59:17,973,Finisher
555,Colette Vogell,United States,F55-59,14,13:29:15,957,1:27:05,1686,6:30:12,754,5:17:37,1228,Finisher
871,Ella Crossman,United States,F18-24,8,13:29:04,955,1:21:37,1297,7:06:47,1306,4:41:25,737,Finisher
275,Kerri Thomas,United States,F45-49,26,13:28:49,952,1:19:17,1116,7:12:12,1389,4:40:52,732,Finisher
360,Sharon Winiewicz,United States,F60-64,3,13:28:24,949,1:22:24,1344,6:39:48,903,5:07:33,1085,Finisher
533,Deanna Norton,United States,F30-34,19,13:27:58,942,1:34:44,2031,7:13:15,1400,4:26:12,557,Finisher
345,Marea Narsavage,United States,F45-49,25,13:27:58,941,1:29:56,1864,7:22:16,1530,4:18:04,459,Finisher
1093,Kara Andersson,United States,F45-49,24,13:26:23,935,1:18:24,1051,6:55:01,1124,4:56:02,930,Finisher
2491,Alyssa Hillaby,Canada,F25-29,25,13:25:07,928,1:27:23,1708,6:31:42,786,5:10:27,1133,Finisher
999,Patricia Wong,United States,F35-39,24,13:24:34,926,1:20:05,1182,7:09:26,1347,4:35:31,669,Finisher
975,Natalie Dallaire,Canada,F40-44,23,13:22:37,912,1:30:42,1887,7:00:39,1206,4:39:40,720,Finisher
2037,Bryce Hopper,United States,F18-24,7,13:22:01,906,1:28:48,1795,7:38:23,1735,3:51:59,243,Finisher
682,Elyse Crochetiere,Canada,F45-49,23,13:21:50,905,1:10:32,519,6:57:14,1158,4:52:17,881,Finisher
1445,Shawna & Hiley,Canada,F45-49,22,13:21:20,899,1:23:21,1421,6:44:37,961,4:54:51,915,Finisher
1333,Dana Clarke,United States,F40-44,22,13:20:37,897,1:15:25,824,6:54:28,1121,4:59:21,976,Finisher
274,Tybe Mills,United States,F55-59,13,13:20:05,892,1:19:15,1114,6:50:26,1049,4:53:36,898,Finisher
497,Sandra Contant,Canada,F60-64,2,13:19:41,888,1:17:50,1004,6:41:52,928,5:05:50,1062,Finisher
1269,Elizabeth Adkins,United States,F50-54,15,13:19:21,886,1:23:03,1396,6:42:16,934,4:45:27,790,Finisher
1330,Cynthia San Jose,Canada,F45-49,21,13:18:11,879,1:29:15,1825,6:55:43,1133,4:34:49,662,Finisher
2116,Olivia Lumia,United States,F30-34,18,13:18:05,877,1:31:43,1925,6:57:24,1162,4:27:36,570,Finisher
2229,Rachel Upp,United States,F25-29,24,13:17:44,874,1:19:47,1146,6:23:35,638,5:20:48,1259,Finisher
862,Renee Gonder,United States,F55-59,12,13:17:25,871,1:21:14,1261,6:58:07,1176,4:26:37,560,Finisher
433,Kimi Ueda,United States,F50-54,14,13:16:41,867,1:26:17,1635,6:29:31,743,5:04:40,1040,Finisher
1244,Samantha Capobianco,United States,F50-54,13,13:15:48,860,1:39:07,2133,6:51:51,1078,4:28:21,580,Finisher
1208,Jaimie Frazier,United States,F35-39,23,13:15:39,858,1:31:52,1930,6:42:39,941,4:45:25,788,Finisher
777,Jennifer Benz,United States,F40-44,21,13:13:24,847,1:20:57,1240,6:45:06,967,4:51:52,875,Finisher
1048,Kristine Urban,United States,F50-54,12,13:12:40,845,1:17:25,978,6:52:06,1081,4:48:38,826,Finisher
1472,Delaney Dowdell,United States,F18-24,6,13:12:24,842,1:09:47,474,7:07:49,1321,4:40:37,729,Finisher
2164,Delaney Simmons,United States,F25-29,23,13:10:54,835,1:09:06,430,6:53:51,1109,4:48:29,825,Finisher
336,Lisa Kuecker,United States,F55-59,11,13:09:48,829,1:13:11,667,6:44:08,956,4:58:29,963,Finisher
841,Megan Piwowar,United States,F35-39,22,13:07:52,809,1:07:00,336,7:04:54,1272,4:47:20,813,Finisher
1948,Carina Stockdale,United States,F45-49,20,13:07:50,808,1:25:11,1563,7:22:39,1534,3:59:01,308,Finisher
270,Lindsey Noseworthy,United States,F30-34,17,13:07:26,805,1:15:58,868,7:00:50,1208,4:29:40,600,Finisher
553,Gabrielle Florance,United States,F30-34,16,13:07:22,804,1:17:43,992,6:50:39,1057,4:35:42,671,Finisher
872,Melanie Weber,United States,F35-39,21,13:07:17,803,1:22:20,1341,6:48:09,1018,4:37:33,691,Finisher
1768,Marianne Camire,United States,F35-39,20,13:07:14,802,1:31:00,1898,6:32:53,802,4:44:34,776,Finisher
973,Chris Mccloe,United States,F55-59,10,13:07:09,801,1:04:49,244,6:57:38,1168,4:49:01,834,Finisher
882,Kerrianne Sanicola,United States,F35-39,19,13:06:45,798,1:12:02,612,6:19:03,570,5:12:27,1154,Finisher
1648,Beth Bowen,United States,F50-54,11,13:06:39,797,1:11:07,554,6:25:53,677,5:14:33,1177,Finisher
364,Bonnie Ritchotte,United States,F50-54,10,13:06:16,793,1:25:59,1620,7:10:14,1359,4:09:02,381,Finisher
2251,Allie Lucas,United States,F35-39,18,13:05:54,790,1:26:32,1650,7:02:46,1240,4:16:59,443,Finisher
1774,Diana Murillo Gonzalez,Canada,F40-44,20,13:05:28,786,1:22:49,1379,6:57:35,1167,4:24:29,536,Finisher
325,Nancy Mcmahon,United States,F55-59,9,13:03:59,773,1:19:05,1099,6:41:21,923,4:52:59,888,Finisher
2015,Heather Gaida,United States,F50-54,9,13:01:47,760,1:24:39,1516,6:12:34,484,5:09:39,1108,Finisher
258,Constance Geoghan,United States,F50-54,8,13:00:35,755,1:19:06,1100,6:22:35,624,5:02:27,1013,Finisher
1314,Ashley Johnson,United States,F25-29,22,13:00:03,753,1:12:46,644,6:38:03,878,4:55:52,929,Finisher
303,Amy Rappaport,United States,F60-64,1,12:58:52,747,1:13:22,676,7:20:11,1501,4:07:19,368,Finisher
680,Colleen Bartling,United States,F45-49,19,12:58:34,746,1:18:37,1072,6:32:03,793,4:53:19,892,Finisher
2158,Genevieve Trahan,Canada,F35-39,17,12:57:40,744,1:16:04,875,6:40:04,906,4:47:32,815,Finisher
643,Nicki Leo,United States,F50-54,7,12:57:38,743,1:12:01,610,6:41:45,925,4:50:14,852,Finisher
2056,Noelle Cutter,United States,F40-44,19,12:57:17,739,1:18:24,1048,7:08:01,1324,4:08:23,374,Finisher
447,Ann Hammer,United States,F40-44,18,12:56:41,736,1:01:01,156,6:28:31,731,5:10:35,1136,Finisher
795,Julia Bird,United States,F30-34,15,12:56:34,734,1:09:59,483,7:09:32,1350,4:17:52,455,Finisher
1588,Cathryn Menarchem,United States,F30-34,14,12:56:09,732,1:14:41,775,6:32:35,798,4:56:27,937,Finisher
313,Rebekah Ash,United States,F25-29,21,12:54:42,723,1:10:05,489,6:38:36,889,4:53:22,894,Finisher
2540,Halle Sauer,United States,F25-29,20,12:54:33,721,1:33:27,1990,6:22:17,618,4:36:45,680,Finisher
2224,Mary Kauffman,United States,F35-39,16,12:54:26,720,1:18:10,1028,6:46:16,987,4:36:05,674,Finisher
1317,Meredith Wegener,United States,F45-49,18,12:54:15,718,1:12:34,638,6:51:39,1075,4:34:47,661,Finisher
346,Lisa Cloutier,United States,F40-44,17,12:53:43,712,1:19:08,1103,6:23:31,635,4:52:13,879,Finisher
1434,Ileana Paul,Canada,F55-59,8,12:52:56,705,1:29:09,1817,6:39:30,899,4:23:38,521,Finisher
2052,Claudia Boucher,Canada,F25-29,19,12:51:07,693,1:32:03,1937,6:11:55,480,4:52:34,883,Finisher
1724,Sara Vollmerhausen,Canada,F25-29,18,12:46:47,667,1:12:05,614,6:35:30,845,4:47:00,811,Finisher
1155,Reem Jishi,United States,F55-59,7,12:45:45,662,1:13:51,710,6:32:29,796,4:46:07,799,Finisher
822,Lesley Rankin,Canada,F40-44,16,12:45:02,658,1:03:35,212,6:30:15,756,4:55:51,928,Finisher
1419,Lauren Groppi,United States,F45-49,17,12:44:54,655,1:22:51,1382,6:46:13,986,4:17:53,456,Finisher
2290,Emma Duffany,United States,F30-34,13,12:44:51,653,1:12:39,641,6:56:17,1145,4:21:45,501,Finisher
1165,Amanda Jett,United States,F30-34,12,12:43:22,647,1:33:52,2005,6:30:36,771,4:28:23,581,Finisher
2261,Lydia Walter,United States,F30-34,11,12:41:51,633,1:27:47,1732,6:30:17,757,4:21:31,499,Finisher
1504,Martha Berrouard,United States,F55-59,6,12:41:50,632,1:11:02,547,6:33:51,820,4:45:01,783,Finisher
1464,Jennifer Carter,United States,F25-29,17,12:41:42,631,1:24:28,1498,6:27:53,714,4:30:20,611,Finisher
1127,Jacqui Barber,United States,F45-49,16,12:40:17,624,00:54:15,42,6:37:34,870,4:50:24,856,Finisher
702,Emily Hoy,United States,F25-29,16,12:40:04,621,1:27:59,1750,7:01:01,1211,3:57:10,291,Finisher
339,Christine Desrochers,United States,F55-59,5,12:38:57,614,1:20:08,1185,6:22:08,614,4:46:43,805,Finisher
1719,Catherine Mavroudis,United States,F30-34,10,12:38:12,609,1:15:59,870,6:43:49,955,4:27:42,574,Finisher
125,Jill Bartholomew,United States,F45-49,15,12:37:23,602,1:17:04,952,6:15:35,531,4:49:54,843,Finisher
1328,Tracey Franchini Gingras,Canada,F35-39,15,12:36:08,596,1:21:49,1308,6:33:21,809,4:30:34,612,Finisher
815,Claire Cohen,United States,F45-49,14,12:35:50,595,1:20:21,1197,7:05:07,1276,3:56:15,283,Finisher
2167,Laurence Brassard,Canada,F25-29,15,12:34:16,589,1:17:53,1009,6:16:47,546,4:25:31,545,Finisher
1037,Dora Jih,United States,F55-59,4,12:33:54,586,1:15:23,817,6:22:00,611,4:34:53,664,Finisher
368,Karen Rice,United States,F45-49,13,12:32:55,580,1:22:44,1371,6:30:20,761,4:25:43,550,Finisher
463,Joanie Pinard,Canada,F35-39,14,12:32:52,579,1:15:01,790,6:35:08,843,4:24:30,537,Finisher
1033,Isabelle Vachon,Canada,F45-49,12,12:31:35,569,1:18:26,1054,6:44:45,962,4:08:00,372,Finisher
833,Kelly Adamshick,United States,F45-49,11,12:31:17,567,1:15:26,827,6:09:44,452,4:56:46,941,Finisher
1378,Karli Lawson,United States,F30-34,9,12:30:43,565,00:59:30,129,6:30:22,762,4:49:17,836,Finisher
2194,Allison Perron,Canada,F18-24,5,12:30:42,564,1:08:55,420,6:44:48,965,4:19:31,473,Finisher
930,Diana Hou,United States,F40-44,15,12:30:13,561,1:04:31,236,6:41:51,927,4:31:35,622,Finisher
401,Lisa Walker,United States,F40-44,14,12:28:36,548,1:11:18,566,6:48:25,1025,4:14:36,420,Finisher
473,Laura Munne Mas,Canada,F25-29,14,12:27:09,543,1:04:59,252,6:34:26,830,4:31:43,627,Finisher
1413,Bethany Kwarta,United States,F30-34,8,12:26:23,541,1:14:48,779,6:25:57,679,4:24:25,533,Finisher
